Paper Number,Word Count,Summarization Time (sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
paper1,366,47.56,0.3347398030942335,0.11971830985915494,0.18565400843881857,0.024570860531374496,0.8475569486618042
paper2,351,45.51,0.41696113074204944,0.13097345132743365,0.19081272084805656,0.024304902329752954,0.8567288517951965
paper3,331,91.33,0.35409252669039143,0.08912655971479501,0.16548042704626334,0.013489101655773274,0.8337006568908691
paper4,253,73.44,0.3486777668952008,0.14327772325809615,0.20763956904995104,0.022255045804808662,0.8602887392044067
paper5,291,83.08,0.3985701519213584,0.1378692927484333,0.20017873100983022,0.02334932958057548,0.8407190442085266
paper6,324,100.71,0.3741120757695343,0.12173913043478261,0.17679558011049723,0.02007697119468601,0.8423913717269897
paper7,260,73.09,0.3658536585365854,0.1518324607329843,0.1916376306620209,0.014954312544275351,0.8597922325134277
paper8,314,89.97,0.4134453781512605,0.18350168350168353,0.22352941176470587,0.040916112418139236,0.8648844957351685
paper9,377,105.57,0.3829787234042553,0.16605437178545188,0.2318415260454879,0.04820850071227682,0.8242101669311523
paper10,436,123.2,0.41206769683590877,0.10906411201179071,0.16335540838852097,0.028630467624868074,0.837246835231781
paper11,382,105.94,0.5164556962025317,0.2620456466610313,0.27172995780590714,0.08577088429661234,0.8676416873931885
paper12,366,108.01,0.3338213762811127,0.09237536656891494,0.15080527086383602,0.010154198148550184,0.8330830931663513
paper13,291,89.69,0.37155297532656023,0.17005813953488372,0.1915820029027576,0.009873427627931138,0.8645278215408325
paper14,331,43.44,0.40625,0.15350223546944858,0.21428571428571427,0.015104938672203812,0.8704788684844971
paper15,278,38.44,0.39402427637721754,0.1440598690364827,0.196078431372549,0.029060674789688382,0.8646713495254517
